,,,CREACIÓN,,MODIFICACIÓN,,,,
CATEGORIAS,CÓDIGO,CATEGORIAS,BASE LEGAL,FECHA PROMULGACIÓN,BASE LEGAL,FECHA PROMULGACIÓN,UBICACIÓN POLITICA,EXTENSION  (ha),
RESERVAS NACIONALES       (15),RN 12,Matsés,D.S. Nº 014-2009-MINAM,26.08.2009,,,LORETO,"420,635.34",
RESERVAS NACIONALES       (15),RN13.01,Isla Lobos de Tierra,D.S. Nº 024-2009-MINAM,31.12.2009,,,NA,"18,278.90",
RESERVAS NACIONALES       (15),RN13.02,Islas Lobos de Afuera,,,,,NA,"8,265.13",
RESERVAS NACIONALES       (15),RN13.03,Islas Macabí,,,,,NA,"8,015.76",
RESERVAS NACIONALES       (15),RN13.04-05,Islas Guañape Norte y Guañape Sur,,,,,NA,"8,487.36",
RESERVAS NACIONALES       (15),RN13.06,Isla Chao,,,,,NA,"4,495.28",
RESERVAS NACIONALES       (15),RN13.07,Islote Corcovado,,,,,NA,"5,228.21",
RESERVAS NACIONALES       (15),RN13.08,Isla Santa,,,,,NA,"6,662.71",
RESERVAS NACIONALES       (15),RN13.09,Punta Culebras,,,,,ANCASH,"2,953.89",
RESERVAS NACIONALES       (15),RN13.10,Punta Colorado,,,,,,"2,209.86",
RESERVAS NACIONALES       (15),RN13.11,Punta La Litera,,,,,LIMA,"2,036.45",
RESERVAS NACIONALES       (15),RN13.12,Islote Don Martín,,,,,NA,"3,312.02",
RESERVAS NACIONALES       (15),RN13.13-15,"Punta Salinas, Isla Huampanú e Isla Mazorca",,,,,LIMA,"14,207.80",
RESERVAS NACIONALES       (15),RN13.16,Islote Grupo de Pescadores,,,,,NA,"6,913.23",
RESERVAS NACIONALES       (15),RN13.17-18,Islas Cavinzas e Islotes Palominos,,,,,NA,"5,146.88",
RESERVAS NACIONALES       (15),RN13.19,Islas Pachacamac,,,,,NA,"4,289.88",
RESERVAS NACIONALES       (15),RN13.20,Isla Asia,,,,,NA,"3,929.58",
RESERVAS NACIONALES       (15),RN13.21-23,"Isla Chincha Norte, Centro y Sur",,,,,NA,"9,410.91",
RESERVAS NACIONALES       (15),RN13.24-26,"Isla Ballestas Norte, Centro y Sur",,,,,NA,"7,197.01",
RESERVAS NACIONALES       (15),RN13.27,Punta Lomitas,,,,,ICA,"2,465.85",
RESERVAS NACIONALES       (15),RN13.28,Punta San Juan,,,,,,"2,968.80",
RESERVAS NACIONALES       (15),RN13.29,Punta Lomas,,,,,AREQUIPA,"2,404.26",
RESERVAS NACIONALES       (15),RN13.30,Punta Atico,,,,,,"3,467.69",
RESERVAS NACIONALES       (15),RN13.31,Punta La Chira,,,,,,"2,436.68",
RESERVAS NACIONALES       (15),RN13.32,Punta Hornillos,,,,,,"2,684.19",
RESERVAS NACIONALES       (15),RN13.33,Punta Coles,,,,,MOQUEGUA,"3,365.14",
RESERVAS NACIONALES       (15),RN14,Pucacuro,D.S. Nº 015-2010-MINAM,23.10.2010,,,LORETO,"637,953.83",
RESERVAS NACIONALES       (15),RN15,San Fernando,D.S. Nº 017-2011-MINAM,09.07.2011,,,ICA,"154,716.37",
REFUGIO DE VIDA SILVESTRE     (3),RVS 01,Laquipampa,D.S. Nº 045-2006-AG,07.07.2006,,,LAMBAYEQUE,"8,328.64",
REFUGIO DE VIDA SILVESTRE     (3),RVS 02,Los Pantanos de Villa,D.S. Nº 055-2006-AG,31.08.2006,,,LIMA,263.27,
REFUGIO DE VIDA SILVESTRE     (3),RVS 03,Bosques Nublados de Udima,D.S. Nº 020-2011-MINAM,21.07.2011,,,CAJAMARCA,"12,183.20",
RESERVAS PAISAJÍSTICAS       (2),"RP
RP 01","
Nor Yauyos - Cochas",D.S. Nº 033-2001-AG,01.05.2001,,,LIMA y JUNIN,"221,268.48",
RESERVAS PAISAJÍSTICAS       (2),RP 02,Subcuenca del Cotahuasi,D.S. Nº 027-2005-AG,23.05.2005,,,AREQUIPA,"490,550.00",
RESERVAS COMUNALES       (10),"RC
RC 01",Yanesha,R.S. Nº 0193-1988-AG-DGFF,28.04.1988,,,PASCO,"34,744.70",
RESERVAS COMUNALES       (10),RC 02,El Sira,D.S. Nº 037-2001-AG,22.06.2001,,,"HUANUCO, PASCO y UCAYALI","616,413.41",
RESERVAS COMUNALES       (10),RC 03,Amarakaeri,D.S. Nº 031-2002-AG,09.05.2002,,,MADRE DE DIOS,"402,335.62",
RESERVAS COMUNALES       (10),RC 04,Asháninka,D.S. Nº 003-2003-AG,14.01.2003,D.S. Nº 021-2003-AG,30.05.2003,JUNIN y CUSCO,"184,468.38",
RESERVAS COMUNALES       (10),RC 05,Machiguenga,D.S. Nº 003-2003-AG,14.01.2003,D.S. Nº 021-2003-AG,30.05.2003,CUSCO y JUNIN,"218,905.63",
RESERVAS COMUNALES       (10),RC 06,Purús,D.S. Nº 040-2004-AG,18.11.2004,,,UCAYALI y MADRE DE DIOS,"202,033.21",
RESERVAS COMUNALES       (10),RC 07,Tuntanain,D.S. Nº 023-2007-AG,09.08.2007,,,AMAZONAS,"94,967.68",
RESERVAS COMUNALES       (10),RC 08,Chayu Nain,D.S. Nº 021-2009-MINAM,09.12.2009,,,AMAZONAS,"23,597.76",
RESERVAS COMUNALES       (10),RC 09,Airo Pai,D.S. Nº 006-2012-MINAM,25.10.2012,,,LORETO,"247,887.59",
RESERVAS COMUNALES       (10),RC10,Huimeki,D.S. Nº 006-2012-MINAM,25.10.2012,,,LORETO,"141,234.46",
BOSQUES DE PROTECCION  (6),"BP
BP 01","
Aledaño a la Bocatoma del Canal Nuevo Imperial",R.S. Nº 0007-1980-AA/DGFF,19.05.1980,,,LIMA,18.11,
BOSQUES DE PROTECCION  (6),BP 02,Puquio Santa Rosa,R.S. Nº 0434-1982-AG/DGFF,02.09.1982,,,LA LIBERTAD,72.5,
BOSQUES DE PROTECCION  (6),BP 03,de Pui Pui,R.S. Nº 0042-1985-AG/DGFF,31.01.1985,,,JUNIN,"60,000.00",
