,,,CREACIÓN,,MODIFICACIÓN,,,,
CATEGORIAS,CÓDIGO,CATEGORIAS,BASE LEGAL,FECHA PROMULGACIÓN,BASE LEGAL,FECHA PROMULGACIÓN,UBICACIÓN POLITICA,EXTENSION  (ha),
areas de conservacion privada (143),73,Las Panguanas 1,R.M. Nº 183-2014-MINAM,23.06.2014,,,LORETO,1.91,
areas de conservacion privada (143),74,Kakiri Uka,R.M. N° 234-2014-MINAM,25.07.2014,,,LORETO,12.14,
areas de conservacion privada (143),75,Cavernas de Leo,R.M. N° 301-2014-MINAM,15.09.2014,,,AMAZONAS,12.5,
areas de conservacion privada (143),76,Ilish Pichacoto,R.M. N° 365-2014-MINAM,31.10.2014,,,JUNIN,329.26,
areas de conservacion privada (143),77,Lagunas y Páramos de Andinos de San José de Tapal,R.M. N° 071-2015-MINAM,31.03.2015,,,PIURA,908,
areas de conservacion privada (143),78,Llamapampa - La Jalca,R.M. N° 089-2015-MINAM,17.04.2015,,,AMAZONAS,17502.93,
areas de conservacion privada (143),79,Wacan Numi,R.M. N° 096-2015-MINAM,24.04.2015,,,LORETO,12.8,
areas de conservacion privada (143),80,Bosque de Nogal y Bosque de Puentecilla,R.M. N° 134-2015-MINAM,26.05.2015,,,PIURA,449.26,
areas de conservacion privada (143),81,Bosques de Cuyas Cuchayo,R.M. N° 153-2015-MINAM,08.06.2015,,,PIURA,102.65,
areas de conservacion privada (143),82,Ronsoco Cocha,R.M. N° 154-2015-MINAM,08.06.2015,,,SAN MARTIN,363.683,
areas de conservacion privada (143),83,Siete Cataratas - Qanchis Paccha,R.M. N° 214-2015-MINAM,21.08.2015,,,CUSCO,1008.51,
areas de conservacion privada (143),84,San Luis,R.M. N° 335-2015-MINAM,01.12.2015,,,CUSCO,1144,
areas de conservacion privada (143),85,El Cortijo,R.M. N° 358-2015-MINAM,30.12.2015,,,LORETO,22.35,
areas de conservacion privada (143),86,San Pedro de Chuquibamba,R.M. N° 359-2015-MINAM,30.12.2015,,,AMAZONAS,19560,
areas de conservacion privada (143),87,Botafogo,R.M. N° 012-2016-MINAM,22.01.2016,,,MADRE DE DIOS,16.8744,
areas de conservacion privada (143),88,Aurora,R.M. N° 024-2016-MINAM,09.02.2016,,,LORETO,38.9617,
areas de conservacion privada (143),89,Mangamanguilla de la Asociación Agraria Manga Manga de Salitral,R.M. N° 047-2016-MINAM,02.03.2016,,,PIURA,1738.23,
areas de conservacion privada (143),90,"Los Bosques de Dotor, Hualtacal, Pueblo Libre, La Jardina y Chorro Blanco",R.M. N° 084-2016-MINAM,04.04.2016,,,PIURA,9944.73,
areas de conservacion privada (143),91,Bosque Seco de la Comunidad Campesina Cesar Vallejo de Palo Blanco,R.M. N° 106-2016-MINAM,27.04.2016,,,PIURA,200,
areas de conservacion privada (143),92,Bosques Montanos y Páramos Chicuate - Chinguelas,R.M. N° 138-2016-MINAM,04.06.2016,,,PIURA,27107.45,
areas de conservacion privada (143),93,Palmonte,R.M. N° 157-2016-MINAM,23.06.2016,,,SAN MARTIN,14.3082,
areas de conservacion privada (143),94,Sabalillo,R.M. N° 158-2016-MINAM,23.06.2016,,,LORETO,22.6864,
areas de conservacion privada (143),95,Santuario de La Verónica,R.M. N° 177-2016-MINAM,08.07.2016,,,CUSCO,20.793,
areas de conservacion privada (143),96,Fundo Rosita,R.M. N° 179-2016-MINAM,13.07.2016,,,LORETO,244.925,
areas de conservacion privada (143),97,Machusaniaca II,R.M. N° 185-2016-MINAM,21.07.2016,,,CUSCO,12.9836,
areas de conservacion privada (143),98,Lomas del Cerro Campana,R.M. N° 192-2016-MINAM,26.07.2016,,,LA LIBERTAD,4564.98,
areas de conservacion privada (143),99,Machusaniaca I,R.M. N° 193-2016-MINAM,26.07.2016,,,CUSCO,22.0048,
areas de conservacion privada (143),100,Bosques Montanos y Páramos de Huaricancha,R.M. N° 194-2016-MINAM,26.07.2016,R.M. N° 048-2020-MINAM,16.02.2020,PIURA,5915.35,
areas de conservacion privada (143),101,Yacila de Zamba,R.M. N° 199-2016-MINAM,26.07.2016,,,PIURA,1000,
areas de conservacion privada (143),102,Bosque Seco de Chililique Alto,R.M. N° 202-2016-MINAM,26.07.2016,,,PIURA,200,
areas de conservacion privada (143),103,Bosque de Neblina Aypate - Olleros,R.M. N° 204-2016-MINAM,27.07.2016,,,PIURA,243.5,
areas de conservacion privada (143),104,Fundo Cadena,R.M. N° 205-2016-MINAM,27.07.2016,,,CUSCO,44.7374,
areas de conservacion privada (143),105,Los Bosques de Overal y Palo Blanco,R.M. N° 206-2016-MINAM,27.07.2016,,,PIURA,3522.32,
areas de conservacion privada (143),106,Ebio Kiabamene,R.M. N° 208-2016-MINAM,27.07.2016,,,MADRE DE DIOS,1924.6752,
areas de conservacion privada (143),107,Tambopata Eco Lodge,R.M. N° 310-2016-MINAM,20.10.2016,,,MADRE DE DIOS,1065.7047,
areas de conservacion privada (143),108,Fundo Las Neblinas,R.M. N° 311-2016-MINAM,20.10.2016,,,PASCO,30.362,
areas de conservacion privada (143),109,Sumac Quilla,R.M. N° 332-2016-MINAM,02.11.2016,,,LORETO,36.22,
areas de conservacion privada (143),110,Lakshmi Amazónica,R.M. N° 333-2016-MINAM,02.11.2016,,,LORETO,56.660564,
areas de conservacion privada (143),111,Sumac Pacha,R.M. N° 334-2016-MINAM,02.11.2016,,,LORETO,30,
areas de conservacion privada (143),112,Sumac Inti,R.M. N° 342-2016-MINAM,08.11.2016,,,LORETO,27.2,
areas de conservacion privada (143),113,Wayqecha,R.M. N° 357-2016-MINAM,22.11.2016,,,CUSCO,593.8534,
areas de conservacion privada (143),114,Chakra Educativa,R.M. N° 380-2016-MINAM,09.12.2016,,,LORETO,9.33675,
areas de conservacion privada (143),115,Bahuaja 1,R.M. N° 004-2017-MINAM,05.01.2017,,,MADRE DE DIOS,132.0384,
areas de conservacion privada (143),116,Bosque Seco de Colina Juan Velasco Alvarado,R.M. N° 048-2017-MINAM,15.02.2017,,,PIURA,2412.45,
areas de conservacion privada (143),117,Santa Catalina de Moza,R.M. N° 049-2017-MINAM,15.02.2017,,,PIURA,1842.04,
areas de conservacion privada (143),118,Zaragoza,R.M. N° 127-2017-MINAM,12.05.2017,,,PASCO,72.0491,
areas de conservacion privada (143),119,Matoriato,R.M. N° 128-2017-MINAM,12.05.2017,,,CUSCO,1737.5,
areas de conservacion privada (143),120,"Páramos y Bosques Montanos de la Comunidad Campesina San Juan de
Sallique",R.M. N° 239-2017-MINAM,23.08.2017,,,CAJAMARCA,3547.19,
areas de conservacion privada (143),121,Zoo Perú,R.M. N° 261-2017-MINAM,15.09.2017,,,LORETO,80.625,
areas de conservacion privada (143),122,Bosque Seco San Juan de los Guayaquiles,R.M. N° 262-2017-MINAM,15.09.2017,,,PIURA,304.84,
areas de conservacion privada (143),123,Bosque de Churumazú,R.M. N° 330-2017-MINAM,02.11.2017,,,PASCO,14.0798,
areas de conservacion privada (143),124,Darshan Ashram,R.M. N° 335-2017-MINAM,07.11.2017,,,LORETO,23.398,
areas de conservacion privada (143),125,Las Naranjas,R.M. N° 147-2018-MINAM,18.04.2018,,,SAN MARTIN,30,
areas de conservacion privada (143),126,Bioparque Amazónico: Bosque de Huayo,R.M Nº 270-2018-MINAM,24.07.2018,,,LORETO,10.758995,
areas de conservacion privada (143),127,Comunal Cujillo,R.M Nº 298-2018-MINAM,24.08.2018,,,CAJAMARCA,3740.28,
areas de conservacion privada (143),128,Monte Puyo (Bosque de Nubes),R.M Nº 349-2018-MINAM,05.10.2018,,,AMAZONAS,16153,
areas de conservacion privada (143),129,Refugio Lupuna,R.M Nº 367-2018-MINAM,24.10.2018,,,MADRE DE DIOS,41.9469,
areas de conservacion privada (143),130,El Cortijo Centro Piedras,R.M Nº 431-2018-MINAM,11.12.2018,,,MADRE DE DIOS,68.7276,
areas de conservacion privada (143),131,Páramos y Bosques Montanos San Miguel de Tabaconas,R.M Nº 432-2018-MINAM,11.12.2018,,,CAJAMARCA,17555.95,
areas de conservacion privada (143),132,Copal Cuilungo,R.M Nº 433-2018-MINAM,11.12.2018,,,AMAZONAS,2573.07,
areas de conservacion privada (143),133,Naturaleza Viva Ryo,R.M Nº 436-2018-MINAM,16.12.2018,,,MADRE DE DIOS,26.3,
areas de conservacion privada (143),134,Masheke,R.M Nº 021-2019-MINAM,07.02.2019,,,MADRE DE DIOS,366.43,
areas de conservacion privada (143),135,"Páramos y Bosques Montanos, Paraíso de la Comunidad Campesina San Felipe",R.M Nº 022-2019-MINAM,12.02.2019,,,CAJAMARCA,1957.75,
areas de conservacion privada (143),136,Knoya - Supru,R.M. N° 026-2019-MINAM,15.02.2019,,,MADRE DE DIOS,2550.08,
areas de conservacion privada (143),137,Comunal San Pablo-Catarata Gocta,R.M. N° 115-2019-MINAM,29.04.2019,,,AMAZONAS,2603.5732,
areas de conservacion privada (143),138,Arroyo Negro,R.M. N° 113-2019-MINAM,01.05.2019,,,AMAZONAS,156.42,
areas de conservacion privada (143),139,Hakim & Cumorah,R.M. N° 124-2019-MINAM,05.05.2019,,,LORETO,61.7309,
areas de conservacion privada (143),140,Comunidad Nativa Tibi Playa I Zona Río Ucayali,R.M. N° 342-2019-MINAM,11.11.2019,,,LORETO,1122.47,
areas de conservacion privada (143),141,Zoo Perú 1,R.M. N° 367-2019-MINAM,02.12.2019,,,LORETO,80.625,
areas de conservacion privada (143),142,Kuntur Wachana,R.M. N° 014-2020-MINAM,16.01.2020,,,CUSCO,1289.13,
areas de conservacion privada (143),143,Pumahuasi,R.M. N° 015-2020-MINAM,16.01.2020,,,CUSCO,861.01,
areas de conservacion privada (143),144,Fundo San Isidro El Labrador,R.M. N° 018-2020-MINAM,20.01.2020,,,LORETO,23.357,
areas de conservacion privada (143),145,Buen Retiro,R.M. N° 032-2020-MINAM,03.02.2020,,,LORETO,67.431,
areas de conservacion privada (143),146,Bosque Cachil,R.M. N° 037-2020-MINAM,07.02.2020,,,CAJAMARCA,210.4,
areas de conservacion privada (143),147,La Niebla Forest,R.M. N° 059-2020-MINAM,26.02.2020,,,JUNIN,70.28,
areas de conservacion privada (143),148,Comunidad Nativa San Jorge del Río Marañón,R.M. N° 172-2020-MINAM,23.08.2020,,,LORETO,1060.86,
areas de conservacion privada (143),149,Unchog,R.M. N° 240-2020-MINAM,23.11.2020,,,HUANUCO,885.28,

